Country_Region,Province_State,Date,Category,Number of Cases
Algeria,"",2020-03-26T00:00:00Z,Recovered,29
Algeria,"",2020-03-27T00:00:00Z,Recovered,29
Algeria,"",2020-03-28T00:00:00Z,Recovered,31
Algeria,"",2020-03-29T00:00:00Z,Recovered,31
Algeria,"",2020-03-30T00:00:00Z,Recovered,37
Algeria,"",2020-03-31T00:00:00Z,Recovered,46
Algeria,"",2020-04-01T00:00:00Z,Recovered,61
Algeria,"",2020-04-02T00:00:00Z,Recovered,61
Andorra,"",2020-03-02T00:00:00Z,Deaths,0
Andorra,"",2020-03-03T00:00:00Z,Deaths,0
Andorra,"",2020-03-04T00:00:00Z,Deaths,0
Andorra,"",2020-03-05T00:00:00Z,Deaths,0
Andorra,"",2020-03-06T00:00:00Z,Deaths,0
Andorra,"",2020-03-07T00:00:00Z,Deaths,0
Andorra,"",2020-03-08T00:00:00Z,Deaths,0
Andorra,"",2020-03-09T00:00:00Z,Deaths,0
Andorra,"",2020-03-10T00:00:00Z,Deaths,0
Andorra,"",2020-03-11T00:00:00Z,Deaths,0
Andorra,"",2020-03-12T00:00:00Z,Deaths,0
Andorra,"",2020-03-13T00:00:00Z,Deaths,0
Andorra,"",2020-03-14T00:00:00Z,Deaths,0
Andorra,"",2020-03-15T00:00:00Z,Deaths,0
Andorra,"",2020-03-16T00:00:00Z,Deaths,0
Andorra,"",2020-03-17T00:00:00Z,Deaths,0
Andorra,"",2020-03-18T00:00:00Z,Deaths,0
Andorra,"",2020-03-19T00:00:00Z,Deaths,0
Andorra,"",2020-03-20T00:00:00Z,Deaths,0
Andorra,"",2020-03-21T00:00:00Z,Deaths,0
Andorra,"",2020-03-22T00:00:00Z,Deaths,1
Andorra,"",2020-03-23T00:00:00Z,Deaths,1
Andorra,"",2020-03-24T00:00:00Z,Deaths,1
Andorra,"",2020-03-25T00:00:00Z,Deaths,1
Andorra,"",2020-03-26T00:00:00Z,Deaths,3
Andorra,"",2020-03-27T00:00:00Z,Deaths,3
Andorra,"",2020-03-28T00:00:00Z,Deaths,3
Andorra,"",2020-03-29T00:00:00Z,Deaths,6
Andorra,"",2020-03-30T00:00:00Z,Deaths,8
Andorra,"",2020-03-31T00:00:00Z,Deaths,12
Andorra,"",2020-04-01T00:00:00Z,Deaths,14
Andorra,"",2020-04-02T00:00:00Z,Deaths,15
Andorra,"",2020-03-02T00:00:00Z,Confirmed,1
Andorra,"",2020-03-03T00:00:00Z,Confirmed,1
Andorra,"",2020-03-04T00:00:00Z,Confirmed,1
Andorra,"",2020-03-05T00:00:00Z,Confirmed,1
Andorra,"",2020-03-06T00:00:00Z,Confirmed,1
Andorra,"",2020-03-07T00:00:00Z,Confirmed,1
Andorra,"",2020-03-08T00:00:00Z,Confirmed,1
Andorra,"",2020-03-09T00:00:00Z,Confirmed,1
Andorra,"",2020-03-10T00:00:00Z,Confirmed,1
Andorra,"",2020-03-11T00:00:00Z,Confirmed,1
Andorra,"",2020-03-12T00:00:00Z,Confirmed,1
Andorra,"",2020-03-13T00:00:00Z,Confirmed,1
Andorra,"",2020-03-14T00:00:00Z,Confirmed,1
Andorra,"",2020-03-15T00:00:00Z,Confirmed,1
Andorra,"",2020-03-16T00:00:00Z,Confirmed,2
Andorra,"",2020-03-17T00:00:00Z,Confirmed,39
Andorra,"",2020-03-18T00:00:00Z,Confirmed,39
Andorra,"",2020-03-19T00:00:00Z,Confirmed,53
Andorra,"",2020-03-20T00:00:00Z,Confirmed,75
Andorra,"",2020-03-21T00:00:00Z,Confirmed,88
Andorra,"",2020-03-22T00:00:00Z,Confirmed,113
Andorra,"",2020-03-23T00:00:00Z,Confirmed,133
Andorra,"",2020-03-24T00:00:00Z,Confirmed,164
Andorra,"",2020-03-25T00:00:00Z,Confirmed,188
Andorra,"",2020-03-26T00:00:00Z,Confirmed,224
Andorra,"",2020-03-27T00:00:00Z,Confirmed,267
Andorra,"",2020-03-28T00:00:00Z,Confirmed,308
Andorra,"",2020-03-29T00:00:00Z,Confirmed,334
Andorra,"",2020-03-30T00:00:00Z,Confirmed,370
Andorra,"",2020-03-31T00:00:00Z,Confirmed,376
Andorra,"",2020-04-01T00:00:00Z,Confirmed,390
Andorra,"",2020-04-02T00:00:00Z,Confirmed,428
Andorra,"",2020-03-02T00:00:00Z,Recovered,0
Andorra,"",2020-03-03T00:00:00Z,Recovered,0
Andorra,"",2020-03-04T00:00:00Z,Recovered,0
Andorra,"",2020-03-05T00:00:00Z,Recovered,0
Andorra,"",2020-03-06T00:00:00Z,Recovered,0
Andorra,"",2020-03-07T00:00:00Z,Recovered,0
Andorra,"",2020-03-08T00:00:00Z,Recovered,0
Andorra,"",2020-03-09T00:00:00Z,Recovered,0
Andorra,"",2020-03-10T00:00:00Z,Recovered,0
Andorra,"",2020-03-11T00:00:00Z,Recovered,0
Andorra,"",2020-03-12T00:00:00Z,Recovered,1
Andorra,"",2020-03-13T00:00:00Z,Recovered,0
Andorra,"",2020-03-14T00:00:00Z,Recovered,1
Andorra,"",2020-03-15T00:00:00Z,Recovered,1
Andorra,"",2020-03-16T00:00:00Z,Recovered,1
Andorra,"",2020-03-17T00:00:00Z,Recovered,1
Andorra,"",2020-03-18T00:00:00Z,Recovered,1
Andorra,"",2020-03-19T00:00:00Z,Recovered,1
Andorra,"",2020-03-20T00:00:00Z,Recovered,1
Andorra,"",2020-03-21T00:00:00Z,Recovered,1
Andorra,"",2020-03-22T00:00:00Z,Recovered,1
Andorra,"",2020-03-23T00:00:00Z,Recovered,1
Andorra,"",2020-03-24T00:00:00Z,Recovered,1
Andorra,"",2020-03-25T00:00:00Z,Recovered,1
Andorra,"",2020-03-26T00:00:00Z,Recovered,1
Andorra,"",2020-03-27T00:00:00Z,Recovered,1
Andorra,"",2020-03-28T00:00:00Z,Recovered,1
Andorra,"",2020-03-29T00:00:00Z,Recovered,1
Andorra,"",2020-03-30T00:00:00Z,Recovered,10
Andorra,"",2020-03-31T00:00:00Z,Recovered,10
Andorra,"",2020-04-01T00:00:00Z,Recovered,10
Andorra,"",2020-04-02T00:00:00Z,Recovered,10
Angola,"",2020-03-20T00:00:00Z,Deaths,0
Angola,"",2020-03-21T00:00:00Z,Deaths,0
Angola,"",2020-03-22T00:00:00Z,Deaths,0
Angola,"",2020-03-23T00:00:00Z,Deaths,0
Angola,"",2020-03-24T00:00:00Z,Deaths,0
Angola,"",2020-03-25T00:00:00Z,Deaths,0
Angola,"",2020-03-26T00:00:00Z,Deaths,0
Angola,"",2020-03-27T00:00:00Z,Deaths,0
Angola,"",2020-03-28T00:00:00Z,Deaths,0
Angola,"",2020-03-29T00:00:00Z,Deaths,2
Angola,"",2020-03-30T00:00:00Z,Deaths,2
Angola,"",2020-03-31T00:00:00Z,Deaths,2
Angola,"",2020-04-01T00:00:00Z,Deaths,2
Angola,"",2020-04-02T00:00:00Z,Deaths,2
Angola,"",2020-03-20T00:00:00Z,Confirmed,1
Angola,"",2020-03-21T00:00:00Z,Confirmed,2
Angola,"",2020-03-22T00:00:00Z,Confirmed,2
Angola,"",2020-03-23T00:00:00Z,Confirmed,3
Angola,"",2020-03-24T00:00:00Z,Confirmed,3
Angola,"",2020-03-25T00:00:00Z,Confirmed,3
Angola,"",2020-03-26T00:00:00Z,Confirmed,4
Angola,"",2020-03-27T00:00:00Z,Confirmed,4
Angola,"",2020-03-28T00:00:00Z,Confirmed,5
Angola,"",2020-03-29T00:00:00Z,Confirmed,7
Angola,"",2020-03-30T00:00:00Z,Confirmed,7
Angola,"",2020-03-31T00:00:00Z,Confirmed,7
Angola,"",2020-04-01T00:00:00Z,Confirmed,8
Angola,"",2020-04-02T00:00:00Z,Confirmed,8
Angola,"",2020-03-20T00:00:00Z,Recovered,0
Angola,"",2020-03-21T00:00:00Z,Recovered,0
Angola,"",2020-03-22T00:00:00Z,Recovered,0
Angola,"",2020-03-23T00:00:00Z,Recovered,0
Angola,"",2020-03-24T00:00:00Z,Recovered,0
Angola,"",2020-03-25T00:00:00Z,Recovered,0
Angola,"",2020-03-26T00:00:00Z,Recovered,0
Angola,"",2020-03-27T00:00:00Z,Recovered,0
Angola,"",2020-03-28T00:00:00Z,Recovered,0
Angola,"",2020-03-29T00:00:00Z,Recovered,0
Angola,"",2020-03-30T00:00:00Z,Recovered,0
Angola,"",2020-03-31T00:00:00Z,Recovered,1
Angola,"",2020-04-01T00:00:00Z,Recovered,1
Angola,"",2020-04-02T00:00:00Z,Recovered,1
Antigua and Barbuda,"",2020-03-13T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-14T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-15T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-16T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-17T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-18T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-19T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-20T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-21T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-22T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-23T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-24T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-25T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-26T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-27T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-28T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-29T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-30T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-03-31T00:00:00Z,Deaths,0
Antigua and Barbuda,"",2020-04-01T00:00:00Z,Deaths,0
